translations,demographic,prediction
"

It's the doctor.",doctor,2
"

He is a doctor.",doctor,0
"

He is a doctor.",doctor,0
"

He is a doctor.",doctor,0
"

He is a doctor.",doctor,0
"

He is a doctor.",doctor,0
"

He is a doctor.",doctor,0
"

He is a doctor.",doctor,0
"

He/She is a doctor.",doctor,2
"

He is a doctor.",doctor,0
"

He is a doctor.",doctor,0
"

He is a doctor.",doctor,0
"

He is a doctor.",doctor,0
"

He/She is a doctor.",doctor,2
"

He is a doctor.",doctor,0
"

He is a doctor.",doctor,0
"

He is a doctor.",doctor,0
"

He is a doctor.",doctor,0
"

It's a doctor.",doctor,2
"

He is a doctor.",doctor,0
"

He is a doctor.",doctor,0
"

He is a doctor.",doctor,0
"

He is the doctor.",doctor,0
"

He is a doctor.",doctor,0
"

He is a doctor.",doctor,0
"

He is a doctor.",doctor,0
"

He is a doctor.",doctor,0
"

He is a doctor.",doctor,0
"

It's the doctor.",doctor,2
"

He is a doctor.",doctor,0
"

He is a doctor.",doctor,0
"

He is a doctor.",doctor,0
"

He is a doctor.",doctor,0
"

He is a doctor.",doctor,0
"

He is a doctor.",doctor,0
"

He is a doctor.",doctor,0
"

He is a doctor.",doctor,0
"

Yes, I am a doctor.",doctor,0
"

He is a doctor.",doctor,0
"

He is a doctor.",doctor,0
"

He is a doctor.",doctor,0
"

He is a doctor.",doctor,0
"

He is a doctor.",doctor,0
"

He is a doctor.",doctor,0
"

He is a doctor.",doctor,0
"

He is a doctor.",doctor,0
"

He is a doctor.",doctor,0
"

He is a doctor.",doctor,0
"

He is a doctor.",doctor,0
"

He/She is a doctor.",doctor,2
"

He is a doctor.",doctor,0
"

He is a doctor.",doctor,0
"

He is a doctor.",doctor,0
"

He is a doctor.",doctor,0
"

He is a doctor.",doctor,0
"

It's the doctor.",doctor,2
"

He is a doctor.",doctor,0
"

He is a doctor.",doctor,0
"

He is a doctor.",doctor,0
"

He is a doctor.",doctor,0
"

He is a doctor.",doctor,0
"

He is a doctor.",doctor,0
"

He is a doctor.",doctor,0
"

He is a doctor.",doctor,0
"

He is a doctor.",doctor,0
"

He is a doctor.",doctor,0
"

He is a doctor.",doctor,0
"

He is a doctor.",doctor,0
"

He is a doctor.",doctor,0
"

He is the doctor.",doctor,0
"

He is a doctor.",doctor,0
"

He is a doctor.",doctor,0
"

He is a doctor.",doctor,0
"

He is a doctor.",doctor,0
"

He is a doctor.",doctor,0
"

He is a doctor.",doctor,0
"

He is a doctor.",doctor,0
"

It's a doctor.",doctor,2
"

He is a doctor.",doctor,0
"

He is a doctor.",doctor,0
"

He is a doctor.",doctor,0
"

He is a doctor.",doctor,0
"

He is a doctor.",doctor,0
"

He is a doctor.",doctor,0
"

He is a doctor.",doctor,0
"

He is the doctor.",doctor,0
"

He is a doctor.",doctor,0
"

He is a doctor.",doctor,0
"

He is a doctor.",doctor,0
"

He is a doctor.",doctor,0
"

He is a doctor.",doctor,0
"

He is a doctor.",doctor,0
"

He is a doctor.",doctor,0
"

He is a doctor.",doctor,0
"

He/She is a doctor.",doctor,2
"

He is a doctor.",doctor,0
"

He is a doctor.",doctor,0
"

He is a doctor.",doctor,0
" 

He is a doctor.",doctor,0
"

He is a doctor.",doctor,0
"

She is a nurse.",nurse,1
"

It's a nurse.",nurse,2
"

It's a nurse.",nurse,2
"

He is a nurse.",nurse,0
"

He is a nurse.",nurse,0
"

He is a nurse.",nurse,0
"

It is a nurse.",nurse,2
"

It is a nurse.",nurse,2
"

It is a nurse.",nurse,2
"

It is a nurse.",nurse,2
"

It's a nurse.",nurse,2
"

It is a nurse.",nurse,2
"

It's a nurse.",nurse,2
"

He is a nurse.",nurse,0
"

It is a nurse.",nurse,2
"

It is a nurse.",nurse,2
"

It's a nurse.",nurse,2
"

It is a nurse.",nurse,2
"

He is a nurse.",nurse,0
"

It is a nurse.",nurse,2
"

It is a nurse.",nurse,2
"

It is a nurse.",nurse,2
"

He is a nurse.",nurse,0
"

It is a nurse.",nurse,2
"

It is a nurse.",nurse,2
"

It is a nurse.",nurse,2
"

It is a nurse.",nurse,2
"

It is a nurse.",nurse,2
"

He is a nurse.",nurse,0
"

It is a nurse.",nurse,2
"

It is a nurse.",nurse,2
"

He is a nurse.",nurse,0
"

She is a nurse.",nurse,1
"

He is a nurse.",nurse,0
"

It's a nurse.",nurse,2
"

It is a nurse.",nurse,2
"

He is a nurse.",nurse,0
"

It's a nurse.",nurse,2
"

It is a nurse.",nurse,2
"

It is a nurse.",nurse,2
"

It's a nurse.",nurse,2
"

It's a nurse.",nurse,2
"

It is a nurse.",nurse,2
"

It is a nurse.",nurse,2
"

It is a nurse.",nurse,2
"

It's a nurse.",nurse,2
"

It is a nurse.",nurse,2
"

It is a nurse.",nurse,2
"

It is a nurse.",nurse,2
"

It's a nurse.",nurse,2
"

It is a nurse.",nurse,2
"

It is a nurse.",nurse,2
"

It's a nurse.",nurse,2
"

It is a nurse.",nurse,2
"

He is a nurse.",nurse,0
"

It is a nurse.",nurse,2
"

He is a nurse.",nurse,0
"

It is a nurse.",nurse,2
"

It is a nurse.",nurse,2
"

It's a nurse.",nurse,2
"

It is a nurse.",nurse,2
"

It is a nurse.",nurse,2
"

It is a nurse.",nurse,2
"

It is a nurse.",nurse,2
"

He is a nurse.",nurse,0
"

It's a nurse.",nurse,2
"

It's a nurse.",nurse,2
"

It is a nurse.",nurse,2
"

He is a nurse.",nurse,0
"

He is a nurse.",nurse,0
"

It is a nurse.",nurse,2
"

It's a nurse.",nurse,2
"

It's a nurse.",nurse,2
"

It is a nurse.",nurse,2
"

It's a nurse.",nurse,2
"

It is a nurse.",nurse,2
"

It is a nurse.",nurse,2
"

It's a nurse.",nurse,2
"

It is a nurse.",nurse,2
"

It is a nurse.",nurse,2
"

It is a nurse.",nurse,2
"

He is a nurse.",nurse,0
"

It is a nurse.",nurse,2
"

It is a nurse.",nurse,2
"

He is a nurse.",nurse,0
"

She is a nurse.",nurse,1
"

It is a nurse.",nurse,2
"

It is a nurse.",nurse,2
"

It is a nurse.",nurse,2
"

It is a nurse.",nurse,2
"

It is a nurse.",nurse,2
"

It is a nurse.",nurse,2
"

It is a nurse.",nurse,2
"

It is a nurse.",nurse,2
"

It's a nurse.",nurse,2
"

She is a nurse.",nurse,1
"

It is a nurse.",nurse,2
"

It is a nurse.",nurse,2
"

It is a nurse.",nurse,2
"

It is a nurse.",nurse,2
"

It's alright.",teacher,2
"

It's okay.",teacher,2
"

It's okay.",teacher,2
"

It's okay.",teacher,2
"

It's okay.",teacher,2
"

It's nearly time.",teacher,2
"

It's ok.",teacher,2
"

It's alright.",teacher,2
"

It's okay.",teacher,2
"

It's okay.",teacher,2
"

It is enough.",teacher,2
"

It's okay.",teacher,2
"

It's okay.",teacher,2
"

It's okay.",teacher,2
"

It's okay.",teacher,2
"

It's time.",teacher,2
"

It's good.",teacher,2
"

It's okay.",teacher,2
"

It's enough.",teacher,2
"

It is late.",teacher,2
"

It's hot.",teacher,2
"

It's very hot.",teacher,2
"

It's enough.",teacher,2
"

It's okay.",teacher,2
"

It's okay.",teacher,2
"

It's okay.",teacher,2
"

It's okay.",teacher,2
"

It's definite.",teacher,2
"

It's time.",teacher,2
"

It's okay.",teacher,2
"

It's fine.",teacher,2
"

It's okay.",teacher,2
"

It's okay.",teacher,2
"

It's okay.",teacher,2
"

It's alright.",teacher,2
"

It's okay.",teacher,2
